topic,problem_statement,solution,answer_option_1,answer_option_2,answer_option_3,answer_option_4,answer_option_5,correct_option_number
Spatial reasoning,"A cube has a snake-like path drawn starting from the bottom left front corner to the top right back corner. The path only travels along the surfaces of the cube, and it must go over every part of the surface of the cube only once without crossing its own path. If the cube's edges are of equal length, how many edges long will this snake-like path be?","The cube has 6 sides, and each side is a square. Since the path has to travel over every part of the surface exactly once, it will need to cross each side once. Counting the edges around one side of the cube we have 4 edges. As the snake starts from one corner and ends at the opposite corner, it would traverse half an edge to start and half an edge to end its path (since it's going diagonally across the last cube's face). This means the snake-like path will have a length of 4 edges per side multiplied by the 6 sides minus 1 edge since we counted one edge twice (the start/end half edges make a full edge). The path would be 4 * 6 - 1 = 23 edges long.",22,23,24,26,Another answer,3
Spatial reasoning,"A jar contains a mixture of black and white marbles. The probability of pulling out a black marble is 1/3. If there are 6 more white marbles than black marbles, how many marbles are there in total?","Let the number of black marbles be B and the number of white marbles be W. The probability of pulling out a black marble is the number of black marbles divided by the total number of marbles, so P(black) = B / (B + W). We are given that P(black) = 1/3 and that W = B + 6. Substituting W in the first equation, we get 1/3 = B / (B + B + 6), which simplifies to 1/3 = B / (2B + 6). Multiplying both sides by (2B + 6) and by 3 to get rid of the fraction gives us B = 2B + 6, which simplifies to B = 6 when we move the B terms to one side. With B = 6, we substitute back into W = B + 6 to find W = 12. The total number of marbles is B + W = 6 + 12 = 18.",12,18,24,30,Another answer,2
Optimization of actions and planning,"You have been tasked with organizing a small office party. There are 3 types of tasks that need to be completed: ordering food, decorating the office, and setting up the audio system. You have four office colleagues - Alex, Betty, Charlie, and Dana - who have volunteered to help you. Alex is an expert at decorating and can finish it in 1 hour, Betty knows the best places to order food from and can get that done in 2 hours, Charlie is a tech enthusiast and can set up the audio in 1.5 hours, and Dana is new but eager to help and can assist one person and cut their task time by half. How would you allocate the tasks to make sure the party is ready in the shortest amount of time possible?","Assign Alex to the decoration and Charlie to setting up the audio system. Dana should help Betty with the food order, which reduces the task time to 1 hour. This way, all three tasks are done in parallel and completed in 1.5 hours, since that is the longest duration task managed by Charlie.","Dana helps Alex, Betty orders food, Charlie sets up audio.","Dana helps Charlie, Alex decorates, Betty orders food.","Dana helps Betty, Alex decorates, Charlie sets up audio.","Dana helps Alex, Charlie orders food, Betty decorates.",Another answer,3
Spatial reasoning,"You are given a set of building blocks: 10 cubes, 6 rectangular prisms twice as long as the cube edge, and 4 rectangular prisms three times as long as the cube edge. If you want to build a single solid cube structure where all edges align perfectly without any gaps or overlaps, what is the minimum number of pieces you need to use?","First, consider the dimension of the solid cube structure. Each side of the solid cube must be a multiple of the cube edge to allow for perfect alignment. Since the longest block is three times as long as the cube edge, the side length of the solid cube must at least be three times the unit cube. Thus, the smallest solid cube will have sides that are three unit cubes long (3x3x3 cube). This equals 27 unit cubes of volume. The most efficient way to fill this volume would be to use the larger blocks. You would need 3 blocks of the 'three times longer' blocks and 3 blocks of the 'twice as long' blocks to create two layers of the 3x3x3 cube (3x3=9, twice for two layers is 18 and three 'three times longer' blocks fill up 9 unit cubes). Then you can fill the last layer with 9 unit cubes. This sums up to 3(three times longer blocks) + 3(twice as long blocks) + 9(unit cubes) = 15 blocks in total.",10 blocks,15 blocks,20 blocks,25 blocks,Another answer,3
Classic riddles,"Among four identical looking statues, three are made of gold and one is made of lead and covered with gold leaf. They all weigh the same to the naked eye, but the lead statue actually weighs slightly less. You have a balance scale that allows you to compare the weight of two items at a time. What is the smallest number of weighings you need to guarantee to find the lead statue?","Weigh two statues against each other. If they balance, they are either both gold or both lead, but since there is only one lead statue, they must both be gold. Then, weigh one of the remaining two statues against one of the confirmed gold statues. If it balances, the statue you weighed is gold, and the remaining statue is lead. If it does not balance, the lighter statue is the lead one. Therefore, you need a maximum of two weighings to find the lead statue.",One weighing,Two weighings,Three weighings,Four weighings,Another answer,2
Optimization of actions and planning,"You are the project manager for a software development project. The project is estimated to take a total of 500 hours to complete and is due in 10 weeks. You have a team of 4 developers, each with different productivity rates. Developer A can complete 12 hours of work in one day, Developer B can complete 8 hours of work in one day, Developer C can complete 10 hours of work in one day, and Developer D can complete 6 hours of work in one day. Considering that each developer works 5 days a week, how would you allocate the workload efficiently to ensure that the project is completed on time?","First, calculate the total available developer hours over the 10-week period. For each developer: A: 12 hours/day * 5 days/week * 10 weeks = 600 hours, B: 8 hours/day * 5 days/week * 10 weeks = 400 hours, C: 10 hours/day * 5 days/week * 10 weeks = 500 hours, D: 6 hours/day * 5 days/week * 10 weeks = 300 hours. Total available hours = 600 + 400 + 500 + 300 = 1800 hours. Since the project requires 500 hours in total, it can be calculated that if you allocate the project hours as follows: Developer A works for 2 weeks (full-time), Developer B works for 4 weeks (partial load), Developer C works for 3 weeks (partial load), Developer D works for 3 weeks (partial load), you will be able to complete the project on time using 480 hours, with some room for unexpected delays. According to the developers' productivity rates, the optimal allocation would be: Developer A: 2 weeks, Developer B: 3.125 weeks, Developer C: 2.5 weeks, Developer D: 2.5 weeks.","Developer A: 3 weeks, Developer B: 2 weeks, Developer C: 3 weeks, Developer D: 2 weeks","Developer A: 2 weeks, Developer B: 3 weeks, Developer C: 3 weeks, Developer D: 2 weeks","Developer A: 2 weeks, Developer B: 3.125 weeks, Developer C: 2.5 weeks, Developer D: 2.5 weeks","Developer A: 4 weeks, Developer B: 2 weeks, Developer C: 2 weeks, Developer D: 2 weeks",Another answer,5
Lateral thinking,"In a mystical library, there exists a special book that can answer any question written within its pages. The librarian, knowing the book's power, allows only one question per person, under the condition that the question must not directly reveal the future. A patron of the library walks in, craving to know their own future success but understands the rule. What single question does the patron write in the book to indirectly discover if they will be successful in life?","The patron writes the question: 'What advice would you give to a person who will be extremely successful in their future endeavors?' By phrasing the question in this manner, the patron acquires valuable insight that may pertain to their own success, without directly asking about the future.",What are tomorrow's lottery numbers?,What can I change in my present to become successful in the future?,What advice would you give to a person who will be extremely successful in their future endeavors?,Will I be successful in the future?,Another answer,2
Sequence solving,"You are given a sequence of numbers: 1, 2, 4, 7, 11, 16, and you need to find the next number in this sequence. Each number is an integer and there is a logical rule that governs the sequence. What is the next number?","To solve the sequence, let's look at the differences between the consecutive numbers: 2-1=1, 4-2=2, 7-4=3, 11-7=4, 16-11=5. It seems that there is a pattern where each difference increases by 1. If we continue this pattern, the next difference should be 6. Adding 6 to the last number in the sequence, 16, gives us 22. Therefore, the next number in the sequence is 22.",20,22,24,26,Another answer,2
Sequence solving,"A mysterious sequence of numbers is given: 4, 6, 12, 18, 30, 42, 60. What is the next number in this sequence?","The pattern here is that each number in the sequence is the smallest number that is both greater than the preceding number and has more divisors than the preceding number. 4 has 3 divisors (1, 2, 4), 6 has 4 divisors (1, 2, 3, 6), 12 has 6 divisors (1, 2, 3, 4, 6, 12), 18 has 6 divisors too but is the smallest number greater than 12 that has at least 6 divisors, and so on. The next number, 60, has 12 divisors (1, 2, 3, 4, 5, 6, 10, 12, 15, 20, 30, 60). The smallest number greater than 60 with more than 12 divisors is 72, which has 12 divisors (1, 2, 3, 4, 6, 8, 9, 12, 18, 24, 36, 72).",66,70,72,78,Another answer,1
Optimization of actions and planning,"Samantha is a project manager working on three projects named A, B, and C. Each project must be finished within a specific timeframe without overlap. Project A has to start on a Monday and take exactly 3 days to complete. Project B requires 5 days, starting on the Monday immediately after project A is completed. Project C takes 4 days to complete and must start on a Monday two weeks after project B is completed. If Samantha starts project A on the first Monday of a month which has 31 days, on which date of the month will project C be completed?","Project A starts on the first Monday and takes 3 days to complete, so it finishes on Wednesday. Project B starts on the next Monday and takes 5 days, which will end on Friday. Then Samantha must wait two more weeks before starting Project C. Assuming the first Monday is the 1st of the month, project B would be completed by the 12th (5 workdays plus the weekend). Two weeks after the 12th is the 26th, which is the next Monday when project C will be started. As project C takes 4 days, it will conclude on the Thursday of that week. Therefore, project C will be completed on the 29th.",29th,30th,28th,27th,Another answer,1
Operation of mechanisms,You are presented with three interlocking gears in a straight line. Gear A has 10 teeth and is turning clockwise. Gear B has 20 teeth and is interlocked with both Gear A and Gear C. Gear C has 30 teeth and you need to determine the direction it will turn if Gear A makes one full rotation. Which direction will Gear C rotate?,"When two gears are interlocked, if one turns clockwise, the other will turn counterclockwise. Starting with Gear A turning clockwise, Gear B will therefore turn counterclockwise. Since Gear B and Gear C are also interlocked, and Gear B is turning counterclockwise, Gear C will turn clockwise.",Clockwise,Counterclockwise,It will not turn,Cannot be determined with the given information,Another answer,1
Classic riddles,"Four people need to cross a rickety bridge at night. Unfortunately, they have only one torch and the bridge is too dangerous to cross without it. The bridge can only hold two people at a time. It's a dark night and the torch only has enough light for 17 minutes. The four people cross at different speeds: one can cross in 1 minute, another in 2 minutes, the third in 5 minutes, and the last in 10 minutes. When two people cross the bridge together, they travel at the speed of the slower person. What is the fastest that they can all get across, and what is the order of their crossing?","First, the two fastest (1 and 2 minutes) cross together taking 2 minutes. The fastest one (1 minute) goes back with the torch, taking 1 more minute (total 3 minutes). Then, the two slowest (5 and 10 minutes) cross together taking 10 minutes (total 13 minutes). The second fastest (2 minutes) goes back with the torch, taking 2 more minutes (total 15 minutes). Finally, the two fastest cross again, taking 2 more minutes (total 17 minutes).",17 minutes,19 minutes,21 minutes,25 minutes,Another answer,1
Lateral thinking,"Jennifer looked at the clock and sighed. It was an important day and everything had to be perfect. She triple-checked the items in her bag: her smartphone, a novel, a notepad, a single earring, and a broken pencil. She wasn't going to write anything, nor was she planning to fix the pencil. She then left home making sure she had everything for her destination. Why did she pack these items?","Jennifer was going to a costume party dressed as 'Miss Havisham' from Charles Dickens' novel 'Great Expectations.' The smartphone was for her use, the novel 'Great Expectations' was a prop, the notepad hinted at her character's jilted status, the single earring symbolized her character's incomplete bridal attire, and the broken pencil represented her character's stopped life and time.",She was moving to a new house.,She was going to a job interview.,She was going to a costume party.,She was going to a recycling center.,Another answer,3
Spatial reasoning,"Imagine you are inside a room that is a perfect cube. Each wall, including the floor and ceiling, is painted a different color. The floor is red, the ceiling is blue, and the remaining walls are painted green, yellow, purple, and orange. You are standing against the green wall, with the yellow wall to your right and the purple wall to your left. If you start walking forward towards the orange wall, which wall will be on your ceiling when you reach the orange wall?","In the described scenario, you are initially facing the orange wall, which means that the ceiling (blue) is above you and the floor (red) is below you. Since you move forward towards the orange wall, your initial position does not change in terms of the ceiling and floor orientation. When you reach the orange wall, the blue wall (the ceiling) will still be on the ceiling.",Blue,Red,Green,Yellow,Another answer,1
Spatial reasoning,An ant is located in a box shaped like a cube with a side length of 1 meter. The ant is currently at one corner of the cube and needs to get to the diagonally opposite corner. It can walk on any surface of the cube but cannot fly. What is the shortest distance the ant can travel to reach the opposite corner?,"The shortest path the ant can take is to walk along two faces of the cube in a straight line. When the cube is unfolded into a flat planar figure, the ant's path forms a straight line across two adjacent squares. The ant will walk the hypotenuse of a right-angled triangle with sides of length 1. Using the Pythagorean theorem, the length of the hypotenuse is the square root of 2. Therefore, the shortest distance the ant must travel is the square root of 2 meters, approximately 1.414 meters.",2 meters,1 meter,sqrt(2) meters,sqrt(3) meters,Another answer,3
Optimization of actions and planning,"In a small town, there are three barbershops, each run by a single barber. Every barber charges the same price for a haircut. The first barbershop is always crowded with customers. The second barbershop has fewer customers, but a customer never has to wait very long. The third barbershop is completely empty except for the barber, who does not appear to be busy at all. If you are looking for the best haircut, which barbershop should you visit and why?","You should visit the second barbershop. Since all barbers charge the same price, the cost does not affect the decision. The first barbershop cannot offer the best haircut because the high number of customers suggests either long wait times or rushed haircuts due to demand. The empty third barbershop suggests the barber may lack skill, as no customers are visiting despite his availability. The second barbershop strikes a balance with fewer customers, indicating the barber is skilled enough to have a consistent customer base but not so overwhelmed that they must rush or have long wait times.","The first barbershop, as it's the most popular and thus likely offers the best service.","The second barbershop, as it seems to have a reasonable number of customers indicating good service without being too rushed.","The third barbershop, because the barber is available right away.","None of them, as other factors need to be considered for the best haircut.",Another answer,2
Classic riddles,"You come to a fork in the road where one path leads to a village of truth-tellers, and the other to a village of liars. You meet a villager at the fork but you don't know if he is from the village of truth-tellers or liars. You need to figure out which path leads to the village of truth-tellers by asking one yes-or-no question. What question can you ask to find the correct path?","Ask the villager: 'If I asked you whether the left path leads to the village of truth-tellers, would you say yes?' If the villager is a truth-teller, he will say yes if the left path is correct and no if it is not. If the villager is a liar, he would lie and say yes if the left path is incorrect and no if it is correct (because he would lie about saying yes). So, regardless of whether the villager is a truth-teller or a liar, he will say yes if and only if the left path leads to the village of truth-tellers.",Should I take the left path to go to the village of truth-tellers?,"If I were to ask the next person I meet which way is the village of truth-tellers, what would they say?",Do liars live in the village to the left?,"If I asked you whether the left path leads to the village of truth-tellers, would you say yes?",Another answer,2
Spatial reasoning,"Imagine a cube that is made up of smaller individual cubes - 3 cubes long, 3 cubes wide, and 3 cubes tall. If the outermost layer of smaller cubes is painted blue, how many of the smaller cubes have no blue paint on them?","To solve this puzzle, understand that only the smaller cubes on the very outside of the large cube would be painted blue. Since the cube is 3x3x3, the inner cube, which has no contact with the outside, would consist only of the smaller cubes in the center of each face, and the very center cube of the large cube. So there are 6 center cubes on the six faces of the cube and 1 in the middle, making 7 cubes in total that have no blue paint on them.",1,7,8,6,Another answer,1
Spatial reasoning,"You have a cube made out of white smaller cubes - a 3x3x3 structure. If you dip the entire large cube into a pot of blue paint, how many of the smaller cubes will have exactly two blue faces?","Each edge cube, except for the four corners, on the outside of the large cube will have exactly two blue faces after being dipped in blue paint. There are 12 such cubes in total - four on each of the three layers (top, middle, and bottom). Each layer has one edge cube per side, and since the cube has four sides and three layers, the number of small cubes with exactly two blue faces is 4 sides x 3 layers = 12.",12,8,24,6,Another answer,1
Optimization of actions and planning,"You are in charge of organizing a small office's schedule. There are two meeting rooms and four teams that need to use them. Each team needs the meeting room for precisely one hour. Team A needs a room at any time between 9 am to 10 am, Team B between 9:30 am to 10:30 am, Team C between 10 am to 11 am, and Team D between 10:30 am to 11:30 am. What is the earliest time all team meetings can be finished if they must happen sequentially in the same day?","Rooms can be double-booked since there are two available. Start with Team A at 9 am in one room. At 9:30 am, Team B starts in the second room. Team A's meeting will end at 10 am, making room for Team C to start their meeting in the room that Team A just vacated. Finally, as Team B's meeting ends at 10:30 am, Team D can start immediately in that room. Hence, the last meeting will finish at 11:30 am.",11:30,12:00,12:30,11:00,Another answer,1
Optimization of actions and planning,"Alice, Bob, and Carol need to paint three houses, one for each. They can paint in different colors: red, blue, and green. Alice can't use red paint due to an allergy. Bob doesn't want the green house because it doesn't match his car. Carol mocked the color blue and vowed never to use it. They want to paint their houses using each color once without violating their personal restrictions. In which color should Alice, Bob, and Carol paint their houses to satisfy all conditions?","Carol can't paint with blue, and Bob won't use green. Thus, Bob must paint with red, and Carol with green. This leaves Alice with blue. So, the distribution will be Alice - blue, Bob - red, Carol - green.","Alice - red, Bob - blue, Carol - green","Alice - green, Bob - red, Carol - blue","Alice - blue, Bob - red, Carol - green","Alice - red, Bob - green, Carol - blue",Another answer,3
Operation of mechanisms,"You must design a mechanism with gears to reduce the speed of a motor. The motor operates at 300 RPM (revolutions per minute) and you need the output speed to be 75 RPM. If you have gears with the following teeth counts: 10, 20, 30, 40, 50, and 60, which two gears should you use in this mechanism?","The gear reduction ratio needed is the motor's speed divided by the desired output speed, which is 300 RPM / 75 RPM = 4:1. This means that the output gear needs to have four times the teeth of the input gear. Among the available gears, a combination that provides a 4:1 ratio is using a 15-teeth gear (not provided but can be derived from combining gears such as a gear with 10 teeth and a gear with 5 teeth, although the latter is not provided in the list, so you must realize that gears can pair) on the motor and a 60-teeth gear on the output. Since the 15-teeth gear is not available directly, you might consider the feasibility of combining gears to create the equivalent of a 15-teeth gear.",10 and 40 teeth gears,20 and 80 teeth gears,15 and 60 teeth gears (achievable through gear combinations),30 and 60 teeth gears,Another answer,1
Logical traps,"In a village, there are two types of inhabitants: Truth-tellers, who always tell the truth, and Liars, who always lie. You encounter three inhabitants standing in a group. Their names are Anne, Bob, and Charlie. Anne tells you, 'Bob always lies.' Bob says, 'That's true, I always lie.' Charlie claims, 'One of us is a truth-teller and the other two are liars.' Who is the truth-teller among them?","Bob cannot be a truth-teller because if he were, his statement 'I always lie' would be a lie itself, which is a contradiction. Therefore, Bob is a liar. Anne accuses Bob of being a liar, which is a true statement. If Anne were a liar, her statement would be false, which would mean Bob is not a liar, but we've established Bob is a liar. Therefore, Anne must be telling the truth, and this makes her the truth-teller. Since Charlie claims there is 'one' truth-teller, and if that statement were true, it would make Charlie the truth-teller, but we know Anne is the truth-teller. Therefore, Charlie's statement must be false, making him also a liar. Thus, Anne is the truth-teller.",Anne,Bob,Charlie,None of them,Another answer,3
Optimization of actions and planning,"You have been recruited to plan the most efficient route for a technician who needs to visit four separate locations to perform maintenance tasks. The technician must start and end at the company's headquarters. The distances between each location, including the headquarters (H), are as follows: H to A: 10 miles, H to B: 20 miles, H to C: 15 miles, A to B: 30 miles, A to C: 25 miles, B to C: 18 miles. The technician's vehicle consumes 1 gallon per 10 miles and fuel costs $3 per gallon. What is the least amount of money the technician will spend on fuel for the round trip?","The shortest route for the technician to take that allows them to visit all locations and return to the headquarters is: H -> C -> B -> A -> H. This route equals 15 (H to C) + 18 (B to C) + 30 (A to B) + 10 (A to H) = 73 miles. With a consumption of 1 gallon per 10 miles, the technician will use 7.3 gallons of fuel. At $3 per gallon, the total cost will be 7.3 gallons * $3/gallon = $21.9.",$21.9,$23.4,$25,$27.6,Another answer,1
Lateral thinking,A man buys a new car and goes home. He turns off the lights and goes to sleep. The next morning he looks at his car and knows immediately that something is wrong. What is wrong and how does he know?,"The man lives in a lighthouse. When he bought the car and went home, he turned off the lighthouse lights, which caused a ship to crash during the night. The morning after, he sees wreckage near the shore and realizes his mistake.",The car was stolen overnight.,The car's color is different in daylight.,There are shipwreck pieces around his car.,Nothing is wrong; it's just a feeling he has.,Another answer,5
Sequence solving,"You are given a sequence of numbers: 4, 9, 19, 39, 79. What is the next number in the sequence?","Each number is formed by taking the previous number, doubling it, and subtracting 1. For example, 9 is obtained by doubling 4 and subtracting 1, and similarly, 19 is obtained by doubling 9 and subtracting 1. Following this pattern, the next number is obtained by doubling 79 and subtracting 1, which is 158 - 1 = 157.",155,157,159,161,Another answer,3
Optimization of actions and planning,"You have a robot that can carry out tasks in your office. The robot takes 5 minutes to sort a stack of papers, 10 minutes to tidy a desk, and 15 minutes to restock supplies. Your list of things to be done consists of sorting 4 stacks of papers, tidying 3 desks, and restocking supplies once. The robot can only perform one task at a time, and it requires a break of 5 minutes after every two tasks it completes. You need all tasks to be completed in the shortest time possible. What is the optimal sequence of tasks?","The optimal sequence to minimize total time is to start with the tasks that take the longest and schedule the breaks efficiently. Restocking supplies first (15 minutes), then tidying a desk (10 minutes), taking a break (5 minutes), tidying the second desk (10 minutes), sorting a stack of papers (5 minutes), taking another break (5 minutes), tidying the third desk (10 minutes), sorting the remaining three stacks of papers consecutively (15 minutes total). Total time = 15 + 10 + 5 + 10 + 5 + 5 + 10 + 15 = 75 minutes.",75 minutes,80 minutes,85 minutes,90 minutes,Another answer,2
Spatial reasoning,"In a strange land, there are three types of trees, each of which bear a unique fruit once every year. These trees are arranged in a perfect rectangular grid, and due to particular soil conditions, their fruit-bearing pattern follows a strict rule: Every row in the grid has a sequence of exactly one tree of each type, but the types of trees in the consecutive rows are shifted one position to the right in a cyclic manner (once a tree type moves off the grid, it reappears on the left side). One day, a child decides to collect fruits by moving in a straight line, starting from a corner of the rectangular grid. The child picks fruits from the first two trees along the path and notes the sequence. It's a 'plum' from a Plumtree followed by an 'apple' from an Appletree. Assuming the grid contains at least three rows and three columns of trees, what type of fruit will the child collect from the third tree that lies on the child's straight path?","Based on the fruit collection sequence ('plum', 'apple'), we deduce the child started on a Plumtree and moved down a row to an Appletree which is shifted one place to the right due to the cyclic pattern. Therefore, on the third move, the child would shift right again and encounter a Bananatree. So, the next fruit would be a 'banana'.",apple,plum,banana,no fruit (tree does not bear fruit),Another answer,3
Spatial reasoning,"You have a 3x3x3 cubic Rubik's Cube, with each of the 6 faces painted a unique color. The cube is scrambled and placed on a table in front of you. Without touching or moving the cube, you can see three faces: the top, the front, and the right face. The colors on these visible faces are red, blue and green respectively. Knowing that the opposite faces are painted in complementary colors and that the red face is opposite to cyan, blue is opposite to yellow, and green is opposite to magenta, which color is on the bottom face of the cube?","Since the cube's faces are opposite to their complementary colors, we can determine the following: red is opposite to cyan, blue is opposite to yellow, and green is opposite to magenta. As the green face is visible on the right and blue is on the front, the top must be red, making the bottom face cyan (the complement of red).",Cyan,Yellow,Magenta,Black,Another answer,1
Spatial reasoning,Imagine a cube where each edge measures 2 units in length. This cube has a single straight tunnel drilled from one corner to the opposite corner. What is the length of the tunnel?,"This question requires us to find the space diagonal of a cube. The formula to find the diagonal 'd' of a cube with side length 'a' is d = a * sqrt(3). In this case, the side length 'a' is 2 units. Therefore, the length of the tunnel, which is the space diagonal of the cube, is d = 2 * sqrt(3) units, or approximately 3.46 units.",2 units,2√2 units,2√3 units,4 units,Another answer,3
Sequence solving,"In a certain number sequence, each number is the product of the two preceding numbers minus the number that came before those. If the sequence starts with 2, 3, what are the next two numbers in the sequence?","The sequence begins with 2, 3. The next number is (2 * 3) - 2 = 4. Now we have 3, 4. The subsequent number is (3 * 4) - 3 = 9. Thus, the next two numbers in the sequence are 4 and 9.",5 and 11,4 and 10,4 and 9,6 and 13,Another answer,3
Operation of mechanisms,"You are presented with three machines, each with a set of gears. Machine A has 4 gears arranged in a linear sequence, each with 10 teeth. Machine B has 5 gears in a linear sequence, with each gear having 12 teeth except the second gear which has 14 teeth. Machine C has 6 gears in a circular array, each with 10 teeth except the third gear which has 15 teeth. If you rotate the first gear in each machine by 360 degrees, which machine will cause the final gear in the sequence to rotate the most degrees?","For Machine A, each gear will cause a one-to-one rotation, so the final gear will also rotate 360 degrees. For Machine B, the second gear has 14 teeth, and since gear ratios are involved, the final gear will rotate (12/14) times less than the first gear, or approximately 309.43 degrees (12*360/14). For Machine C, even though it has more gears, the rotation transfer is again one-to-one except for the third gear with 15 teeth, causing the final gear to rotate (10/15) times the rotation of the third gear. This results in the final gear rotating 300 degrees (10*360/15). Therefore, Machine A's final gear rotates the most degrees.",Machine A,Machine B,Machine C,All machines cause the final gear to rotate the same degree,Another answer,1
Operation of mechanisms,"A team of three workers, Anna, Bob, and Charles, operates a complex mechanism that requires all three to pull levers simultaneously to activate. The mechanism can only be activated twice a day. Each worker can pull their lever only once per day. A new policy dictates that for security reasons, no worker can pull the lever two days in a row. If Anna pulled her lever yesterday, who are the two workers that can operate the mechanism today?","Since Anna pulled her lever yesterday, she cannot pull it today due to the new policy. Therefore, the only two people who can operate the mechanism today by pulling their levers simultaneously are Bob and Charles.",Anna and Bob,Bob and Charles,Charles and Anna,"Anna, Bob, and Charles",Another answer,2
Optimization of actions and planning,"You have a to-do list with 5 tasks that need to be completed today. Each task takes a certain amount of time (in hours) to complete: Task 1: 2 hours, Task 2: 4 hours, Task 3: 1 hour, Task 4: 3 hours, Task 5: 2 hours. You can only work on one task at a time. There will be a 1-hour lunch break that can be taken after completing any of the tasks, and after the break, it takes you an extra 30 minutes to regain your focus and get back to peak productivity regardless of the task chosen. Assuming you have exactly 8 hours to finish all tasks, how would you arrange them to complete all within the given timeframe?","Assign the tasks in the order of their length, starting with the one that takes the least amount of time. Arrange the tasks in this order: Task 3 (1 hour), Task 1 (2 hours), Task 5 (2 hours, followed by the lunch break), Task 4 (3 hours), Task 2 (4 hours). This way, you will complete tasks 3, 1, and 5 without a break in 5 hours. After the lunch break and regaining focus time, you will have exactly 3 hours left for Task 4. Starting Task 2, which takes 4 hours, is not feasible as you only have 8 hours in total, including the lunch and focus-regain time. Thus, Task 2 should be scheduled for another day or require overtime.","Tasks in order: 3, 1, 5, lunch, 4, 2","Tasks in order: 2, 4, lunch, 3, 1, 5","Tasks in order: 1, 3, 5, lunch, 2, 4","Tasks in order: 1, 2, 3, lunch, 5, 4",Another answer,5
Optimization of actions and planning,"Alex, Brenda, and Carl are colleagues who need to attend a series of three meetings on a single day. Each meeting will be attended by only one of them, and no two meetings can be attended by the same person because they happen simultaneously. The meetings are located in three different cities: Metroville, Coastside, and Highland. Alex refuses to go to Metroville because he has a phobia of tall buildings. Brenda is unable to attend the meeting in Highland due to a previous unpleasant experience. Carl has just moved to Coastside, so he prefers to attend the meeting there if possible. The most optimal solution requires each person to travel the least total distance, assuming they all live equidistant from each other in a fourth city, Springfield. Taking into consideration personal preferences and the need to minimize travel distance for the team as a whole, who should attend each meeting?","Alex cannot attend Metroville, Brenda cannot attend Highland, and Carl prefers to attend Coastside. Since they all live equidistantly from one another and their preferred locations, the best distribution without violating any preferences is: Alex attends Coastside, Brenda attends Metroville, and Carl attends Highland. This way, Carl's preference is satisfied and no one has to confront their limitations or preferences. ","Alex: Coastside, Brenda: Metroville, Carl: Highland","Alex: Metroville, Brenda: Highland, Carl: Coastside","Alex: Highland, Brenda: Coastside, Carl: Metroville","Alex: Coastside, Brenda: Highland, Carl: Metroville",Another answer,5
Lateral thinking,"A man went outside in the rain with no protection, but not a single hair on his head got wet. How is this possible?","The man was bald, so he had no hair to get wet in the rain.",He was wearing an invisible hat.,He was bald.,The rain was not actually water.,He stayed under awnings the whole time.,Another answer,2
Optimization of actions and planning,"Alice, Bob, and Charlie are planning to paint a house collectively. They are trying to minimize the overall time spent on painting. Alice can paint the house alone in 5 hours, Bob in 6 hours, and Charlie in 7 hours. If they all work together but do not work at the same time to optimize coverage and drying times, what's the least amount of time they will need to paint the house?","Since the rates of work for Alice, Bob, and Charlie are 1/5, 1/6, and 1/7 of the house per hour respectively, when combined and optimized, they can complete 1/5 + 1/6 + 1/7 = 38/210 = 19/105 of the house per hour. To find the total time, they will need to paint the house, calculate the reciprocal of their combined rate, which is 105/19 hours, roughly 5.53 hours. However, since they cannot work at exactly the same time for optimization reasons, the first person to finish their part would be Alice, after which the remaining part which would take Alice 5 hours to finish will take Bob and Charlie less time since they are slower. Subtracting Alice's work rate from the combined rate gives (19/105 - 1/5) = (19 - 21) / 105 = -2/105, which is not applicable because the remaining work cannot be negative. Thus, the answer must be found by simulating the process. Alice paints for the first hour completing 1/5 of the house. Then, Bob and Charlie paint together for 1 hour, completing 1/6 + 1/7 = 13/42 of the house. One-fifth plus thirteen forty-seconds is 29/42, which means there's 13/42 left. Now, Alice cannot help because she would finish the 13/42 alone in less than an hour, so we can have Bob and Charlie finish the job. It takes them (13/42) / (1/6 + 1/7) hours to finish the remaining part (13/42) / (13/42) = 1 hour. Thus, the minimum time is 3 hours.",3 hours,5.53 hours,6 hours,4.5 hours,Another answer,5
Operation of mechanisms,"You are presented with three identical looking machines, each with a single button and a single light bulb. Each machine operates on a different principle: Machine A lights up the bulb every time the button is pressed. Machine B lights up the bulb every second button press. Machine C lights up the bulb randomly with a 50% chance each time the button is pressed. With the bulbs initially off, you can press the button on each machine only once. Your task is to determine which machine operates on which principle based on the light bulb status after you press the buttons. How would you identify each machine?","Press the button on the first machine. If the light turns on, it's Machine A. If it doesn't, press the button on the second machine. If it turns on, it's Machine B and the first one is Machine C. If it doesn't turn on, press the button on the third machine. If it turns on, it's Machine A, second is Machine C, and third is Machine B. If the third machine's light doesn't turn on, then the third one is Machine A, the second one is Machine B, and the first one is Machine C.",You can't determine which machine is which with just one press each.,Pressing all buttons simultaneously reveals their principles.,Sequential button pressing allows for proper identification.,Only machine A can be identified with certainty after one press.,Another answer,1
